C1,C2,C3,C4,C5,C6,C7,I13,H12,H11,I14,I15,B8,B9,B10,I16,I17,I18,O19
0,0.01,479.177424,8.48,0,0,2,1,2,0,1,3,1,Concrete/ciment,1,1,0,0,0
0,0.01,479.177424,8.48,0,0,2,1,2,0,1,3,1,Concrete/ciment,1,1,0,0,0
0,0.12,343.6643028,42.83,0,0,2,1,1,1,3,1,1,Concrete/ciment,1,1,0,0,1
0,0.12,343.6643028,42.83,0,0,2,1,1,1,3,1,1,Concrete/ciment,1,1,0,0,1
0,0.12,343.6643028,42.83,0,0,2,1,1,1,3,1,1,Concrete/ciment,1,1,1,0,1
0,0.12,343.6643028,42.83,0,0,2,1,1,1,3,1,1,Concrete/ciment,1,1,1,0,1
0,0.12,343.6643028,42.83,0,0,2,1,1,1,3,1,1,Concrete/ciment,1,1,1,0,1
0,0.12,343.6643028,42.83,0,0,2,1,1,1,3,1,1,Concrete/ciment,1,1,0,0,1
1,0.01,25.6435574,226.68,0,1,2,1,2,1,2,0,1,Timber piles,0,1,1,0,1
1,0.01,25.6435574,226.68,0,1,2,1,2,1,2,0,1,Timber piles,0,1,1,0,1
2,0.32,127.2602891,20.54,0,1,2,1,2,0,3,3,2,Concrete/ciment,1,1,0,0,1
2,0.32,127.2602891,20.54,0,1,2,1,2,0,3,3,2,Concrete/ciment,1,1,1,0,1
0,0.01,818.4396,8.66,0,1,2,1,2,0,0,1,1,Concrete/ciment,1,0,1,1,1
0,0.01,818.4396,8.66,0,1,2,1,2,0,0,1,1,Timber piles,1,0,0,1,1
0,0.01,1258.465455,8.66,0,0,2,1,2,1,1,1,1,Timber piles,1,0,1,0,1
0,0.01,1258.465455,8.66,0,0,2,1,2,1,1,1,1,Timber piles,1,1,1,0,1
0,0.01,1258.465455,8.66,0,0,2,1,2,1,1,1,1,Timber piles,1,1,1,0,1
0,0.01,1258.465455,8.66,0,0,2,1,2,1,1,1,1,Timber piles,1,0,1,0,1
0,0.13,16.5607116,60.39,0,1,2,0,1,1,3,1,1,Concrete/ciment,1,0,0,1,1
0,0.13,16.5607116,60.39,0,1,2,0,1,1,3,1,1,Concrete/ciment,1,1,0,1,1
0,0.13,16.5607116,60.39,0,1,2,0,1,1,3,1,1,Concrete/ciment,1,1,0,1,1
0,0.19,97.8213676,15.36,0,0,2,1,2,0,4,2,1,Concrete/ciment,1,0,0,0,1
0,0.19,97.8213676,15.36,0,0,2,1,2,0,4,2,1,Concrete/ciment,1,0,0,0,1
0,0.19,97.8213676,15.36,0,0,2,1,2,0,4,2,1,Concrete/ciment,1,0,0,0,1
0,0.01,807.6761,4.15,0,0,2,1,2,1,2,0,1,Timber piles,1,0,1,0,1
0,0.01,807.6761,4.15,0,0,2,1,2,1,2,0,1,Timber piles,1,0,1,0,1
0,0.01,807.6761,4.15,0,0,2,1,2,1,2,0,1,Timber piles,1,0,0,0,0
0,0.01,807.6761,4.15,0,0,2,1,2,1,2,0,1,Timber piles,1,0,0,0,0
1,0.16,17.6191895,17.19,1,1,2,0,1,1,3,2,2,Concrete/ciment,0,0,0,0,1
1,0.16,17.6191895,17.19,1,1,2,0,1,1,3,2,2,Concrete/ciment,0,1,0,1,1
1,0.16,17.6191895,17.19,1,1,2,0,1,1,3,2,2,Caisson,0,0,1,1,1
1,0.16,17.6191895,17.19,1,1,2,0,1,1,3,2,2,Caisson,0,0,1,1,1
0,0.07,4127.43,16.82,0,0,2,0,1,1,3,0,1,Concrete/ciment,1,0,1,0,1
0,0.13,88.6475555,27.86,0,1,2,0,1,0,4,0,1,Concrete/ciment,1,0,1,0,0
0,0.1,35.4093228,16.82,0,0,1,0,1,0,3,1,2,Concrete/ciment,1,0,0,1,0
0,0.1,35.4093228,16.82,0,0,1,0,1,0,3,1,2,Concrete/ciment,1,0,0,0,0
0,0.1,35.4093228,16.82,0,0,1,0,1,0,3,1,2,Concrete/ciment,1,1,0,2,0
2,0.28,50.894965,27.61,0,0,2,1,1,1,0,1,1,Concrete/ciment,1,1,1,1,1
2,0.28,50.894965,27.61,0,0,2,1,1,1,0,1,1,Concrete/ciment,1,1,1,1,1
0,0.4,12.437856,35.28,0,1,1,1,1,1,4,4,1,Concrete/ciment,1,0,1,1,1
0,0.14,318.5137731,33.31,0,1,2,1,1,1,4,2,1,Concrete/ciment,1,1,0,1,1
0,0.14,318.5137731,33.31,0,1,2,1,1,1,4,2,1,Concrete/ciment,1,1,0,1,1
0,0.14,318.5137731,33.31,0,1,2,1,1,1,4,2,1,Concrete/ciment,1,1,0,1,1
0,0.14,318.5137731,33.31,0,1,2,1,1,1,4,2,1,Concrete/ciment,1,1,0,1,1
0,0.14,318.5137731,33.31,0,1,2,1,1,1,4,2,1,Concrete/ciment,1,1,0,1,1
0,0.3,87.4035971,17.56,0,0,2,0,2,1,2,2,1,Concrete/ciment,1,1,1,2,1
0,0.3,87.4035971,17.56,0,0,2,0,2,1,2,2,1,Concrete/ciment,1,0,0,0,0
0,0.21,117.6812693,16.76,0,1,2,1,2,1,3,2,1,Concrete/ciment,0,1,1,1,1
0,0.21,117.6812693,16.76,0,1,2,1,2,1,3,2,1,Concrete/ciment,0,0,0,0,1
0,0.04,538.2427996,1.52,2,0,2,0,2,1,1,1,0,Concrete/ciment,1,0,0,1,1
0,0.04,538.2427996,1.52,2,0,2,0,2,1,1,1,0,Concrete/ciment,1,0,0,2,1
0,0.04,538.2427996,1.52,2,0,2,0,2,1,1,1,0,Concrete/ciment,1,0,0,2,1
0,0.04,538.2427996,1.52,2,0,2,0,2,1,1,1,0,Concrete/ciment,1,0,1,1,1
0,0.1,14.7936274,143.91,0,0,2,0,2,0,4,2,1,Concrete/ciment,1,0,0,0,1
0,0.1,140.2794656,37.9,0,0,1,1,1,0,4,3,1,Concrete/ciment,1,0,0,0,0
0,0.1,140.2794656,37.9,0,0,1,1,1,0,4,3,1,Concrete/ciment,1,0,0,0,0
